,title,link,source,text,date,language,toxicity
0,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,ANTIGUAS CANCIONES DE GRECIA PAIS NATAL DE MIS PADRES .CUÁNTOS RECUERDOS .DESDE ARGENTINA JUAN DE COMODORO RIVADAVIA.🇦🇷🇦🇷🇬🇷🇬🇷,2022-11-29,other,1
1,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Încă  o zi petrecută cu muzica voastră  fantastică.  Multe melodii   noi pentru mine din minunata istorie a muzicii grecești. Felicitări pentru ce faceti, aducând bucurie în  sufletele celor ce iubesc Elada. Vă  iubesc și vă  doresc tot binele  din lume în 2022.",2022-11-29,el,1
2,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song," FelicităriSuperb 
Să fiți mereu bine 
Momente frumoase în viața ta 
Mulțumesc 
Iubirea mea mereu 
Din România cu drag!",2022-11-29,greeklish,1
3,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Lovely collection! Thank you <3,2022-11-29,greeklish,1
4,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Beautiful thank you  so many memories awesome Tragoudistes we’re trying to keep it life together with you guys thank you love ️ you from USA 🇺🇸.,2022-11-29,en,1
5,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Thank you for this beautiful selection excellent work  thanks for the memories.,2022-11-29,en,1
6,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Pot Poori of classic singers and their songs. Wonderful.,2022-11-29,en,1
7,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"
From Poland 

Pytanie, słucha tej muzyki jakaś Polka mieszkająca w Grecji? 
",2022-11-29,el,1
8,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Congratulations!!!!!!!,2022-11-29,el,1
10,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,I Epilogi ton Tragoudion ine APITHANI.,2022-11-29,greeklish,1
11,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Хиляди пъти Гърция и тази музика,2022-11-29,el,1
13,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️️️️,2022-11-29,el,1
