,title,link,source,text,date,language,toxicity
14,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,OLH H ISTORIA THS  ELLHNIKHS MOYSIKHS MESA  SE ENA MIKRO TETRAGONAKI .PANTA  SYNEPEIS   SE AYTO  POY XERETAI NA KANETAI ME  EPAGGELMATISMO .LINDA KAI HLIA MAS ..,2022-11-29,greeklish,1
15,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️,2022-11-29,el,1
16,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"️️️️️️️️️ 
 
13
 
Linda",2022-11-29,el,1
17,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Telei MUSIKI  WUNDERBAR,2022-11-29,el,1
18,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Tragudhja  aksehasta. Ja mena ine Super ola,I tragudhidtis ine oli iperoji ,Ta skuo qe omos dhen hortazo  me afta ta dhiamandia.",2022-11-29,greeklish,1
19,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,🇬🇷🇬🇷🇬🇷️️️️️️🇬🇷️🇩🇪,2023-06-29,el,1
20,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Efharistoume apo kardias Gia tis orees epiloges sas anarotieme mipos gnorizete Pou vriskete I Ka Litsa Diamadi ?  Zo ektos Ellados  ke den gnorizo ti apegiine afti I megali tragoudistria kathos ke o Philippos Nikolaou efharisto,2022-11-29,greeklish,1
21,Νατάσα Θεοδωρίδου - Αν πας με άλλη (AI Cover),https://www.youtube.com/watch?v=HILSvOQV_bc&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"ekane oti mporouse to ai signomi gia ta lathakia den mporousa na kanw kati kalitero alla ithela na to anevasw
theloume epanektelesi epigonsos giafto to ekana ! :)",2023-11-27,greeklish,1
23,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Эти прекрасные песни и одни из лучших исполнители Греции мы слушали в СССР,2022-11-29,other,1
24,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Greetings to my Greek brothers and sisters from Serbia ️,2022-11-29,en,1
25,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,TELEIO MIX ORAIES EPOXES GEMATO EROTA KAI KSEGNIASIA .,2022-11-29,greeklish,1
29,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Me gyrises piso sta pio omorfa hronia tis zois mou sefharysto poli!!🇨🇾🇨🇾,2021-11-29,greeklish,1
30,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Эти прекрасные песни и одни из лучших исполнители Греции мы слушали в СССР,2022-11-29,other,1
31,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Greetings to my Greek brothers and sisters from Serbia ️,2022-11-29,en,1
32,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,TELEIO MIX ORAIES EPOXES GEMATO EROTA KAI KSEGNIASIA .,2022-11-29,greeklish,1
36,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Me gyrises piso sta pio omorfa hronia tis zois mou sefharysto poli!!🇨🇾🇨🇾,2021-11-29,greeklish,1
37,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Эти прекрасные песни и одни из лучших исполнители Греции мы слушали в СССР,2022-11-29,other,1
38,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Greetings to my Greek brothers and sisters from Serbia ️,2022-11-29,en,1
39,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,TELEIO MIX ORAIES EPOXES GEMATO EROTA KAI KSEGNIASIA .,2022-11-29,greeklish,1
43,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Me gyrises piso sta pio omorfa hronia tis zois mou sefharysto poli!!🇨🇾🇨🇾,2021-11-29,greeklish,1
44,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Эти прекрасные песни и одни из лучших исполнители Греции мы слушали в СССР,2022-11-29,other,1
45,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Greetings to my Greek brothers and sisters from Serbia ️,2022-11-29,en,1
46,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,TELEIO MIX ORAIES EPOXES GEMATO EROTA KAI KSEGNIASIA .,2022-11-29,greeklish,1
50,"Ελληνικά disco, 80s & 90s (Non-stop Party Mix) [Part 1]",https://www.youtube.com/watch?v=Y9rbyT0ZNq4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Me gyrises piso sta pio omorfa hronia tis zois mou sefharysto poli!!🇨🇾🇨🇾,2021-11-29,greeklish,1
51,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Очень красиво, влюбилась в голос ,песни и музыку, браво",2021-11-29,el,1
52,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Great songs of an amazing singer.  I had the opportunity to see him live.  He is AMAZING LIVE.,2022-11-29,en,1
53,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,🇬🇷,2022-11-29,el,1
54,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Can't believe his voice !!! incredible!!!,2023-10-29,en,1
55,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Ela re Vasilis...love him from an Albanian in Australia...I hope my good greek neighbours are doing well and staying safe.,2021-11-29,en,1
56,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Karras..the King of the night!!!! Love from Serbia ,2023-10-29,en,1
57,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Очень душевно,2021-11-29,el,1
58,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"וסיליס היקר  
אדם נפלא עם קול של מלאך..",2023-11-01,el,1
59,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"VASILIS,DIVAN GLAS,VOLIM TE PARALIJA IZ NOVOG SADA️️️️️",2021-11-29,other,1
60,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Perfect singer with a unique voice,2023-08-29,en,1
61,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Legend!
Mia mytia made me pour a drink in the morning
Thank you Vasilis!",2021-11-29,en,1
62,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Güzel bir şarkı sözü Helal olsun sana basilli kara,2021-11-29,other,1
63,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Beautiful, beautiful, beautiful, great voice and amazing, nice songs, Greek music is world-class, heavenly nice music. Orhan Baki from Istanbul. ️️️️️️️️️️️️",2021-11-29,en,1
64,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Geia sou megale Vassili K.,2023-11-08,greeklish,1
65,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"A legend, love from Pakistan 🇵🇰",2021-11-29,en,1
66,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,super . faleminderit Vasili. je mbret i muzikes Greke.,2022-11-29,other,1
67,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,I mrekullueshem Vasilis Karas..,2022-11-29,el,1
68,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Best singer  ever,2021-11-29,greeklish,1
69,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Hello,Vasilis Karras,with Love from Lithuania.Thank you for nice greece muzik:)",2021-11-29,en,1
70,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,The  Greatest kapsoura KILLER. how many hearts he recoverd !!!,2021-11-29,en,1
72,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Cel mai tare cântăreț dintre toți cantereti greci și asa va rămâne pana moare nr 1 în Grecia,2022-11-29,el,1
73,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Благословен от Бога,2022-11-29,other,1
75,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Te çlodh dhe ta mbush shpirtin,2022-11-29,greeklish,1
77,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Poli sevasmo ja sena.Karras ise megalos.,2020-11-29,el,1
78,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,SUPER E MREKULLUSHME E PERKRYER ️️️️️️️️️️️️️️️,2022-11-29,el,1
79,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Éna apó ta pio ómorfa tragoúdia, échoun perásei 27 chrónia apó tóte pou éfyga apó tin Elláda kai synechízo na to akoúo🇦🇱",2021-11-29,greeklish,1
80,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,From moroco vasilis karas ,2020-11-29,el,1
81,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,RESPECT Vasili,2022-11-29,el,1
84,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Nje bravooooooooooooo te madhe vasili,2021-11-29,other,1
85,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,LEGEND,2022-11-29,el,1
86,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Bravo,2021-11-29,el,1
88,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️🇬🇷️Axios,2022-11-29,el,1
90,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Najbolji,2021-11-29,el,1
91,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,🇬🇷Nema bolje muzike🇸🇮,2021-11-29,el,1
92,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Ta kalitera xronia sas polla naste olli Kala..,2022-12-29,greeklish,1
95,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️️️️️,2021-11-29,el,1
96,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,каррас супер,2022-11-29,el,1
99,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Me pelqen musica grece       eedhe kengaa juaj vasilis,2021-11-29,greeklish,1
102,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,20. song best :),2023-03-29,greeklish,1
103,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,I mrekullueshmi Kara,2021-11-29,el,1
104,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Super ,2021-11-29,el,1
106,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Jasu Arkonda se parakulutho 25 kronjaprapoli muaresun ta dragudhia su me pligonis me afta ta dragudhia pu ta les orea ise megalos Vasilis Kara's  bravoooo,2021-11-29,greeklish,1
107,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Oti arxizei me xara, teleinonei me Kara!",2021-11-29,greeklish,1
109,Βασίλης Καρράς - Τραγούδια Επιτυχίες | Vasilis Karras - Hit Songs,https://www.youtube.com/watch?v=mQkIg8Rg3m4&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,я,2023-04-29,el,1
